policy,n_seeds,source_fake_rate_cap,fake_detection_weight,real_clearance_weight,real_fpr_penalty,fake_miss_penalty,target_accuracy_mean,target_accuracy_std,target_roc_auc_mean,target_roc_auc_std,target_brier_score_mean,target_brier_score_std,target_expected_calibration_error_mean,target_expected_calibration_error_std,target_precision_mean,target_precision_std,target_recall_mean,target_recall_std,target_f1_mean,target_f1_std,target_predicted_positive_rate_mean,target_predicted_positive_rate_std,source_accuracy_mean,source_accuracy_std,source_predicted_positive_rate_mean,source_predicted_positive_rate_std,threshold_mean,threshold_std,threshold_source_utility_mean,threshold_source_utility_std
uncapped_fd1p5_rc1_rfp2_fmp8,3,,1.5,1.0,2.0,8.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.07173645320197,0.2144981624095195
uncapped_fd2_rc1_rfp0p5_fmp1,3,,2.0,1.0,0.5,1.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.8171182266009844,0.0937761587179585
uncapped_fd2_rc1_rfp0p5_fmp1p5,3,,2.0,1.0,0.5,1.5,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.8081896551724133,0.09679099815898956
uncapped_fd2_rc1_rfp0p5_fmp2,3,,2.0,1.0,0.5,2.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.799261083743842,0.10051102168837778
uncapped_fd2_rc1_rfp0p5_fmp3,3,,2.0,1.0,0.5,3.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.781403940886699,0.1097666530410223
uncapped_fd2_rc1_rfp0p5_fmp4,3,,2.0,1.0,0.5,4.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.7635467980295565,0.12096580451043017
uncapped_fd2_rc1_rfp0p5_fmp6,3,,2.0,1.0,0.5,6.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.7278325123152705,0.14735673262200455
uncapped_fd2_rc1_rfp0p5_fmp8,3,,2.0,1.0,0.5,8.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.6921182266009844,0.17704888546775296
uncapped_fd2_rc1_rfp1_fmp2,3,,2.0,1.0,1.0,2.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.75615763546798,0.12503487829061133
uncapped_fd2_rc1_rfp1_fmp3,3,,2.0,1.0,1.0,3.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.7383004926108367,0.13142332994843645
uncapped_fd2_rc1_rfp1_fmp4,3,,2.0,1.0,1.0,4.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.720443349753694,0.1398149406264009
uncapped_fd2_rc1_rfp1_fmp6,3,,2.0,1.0,1.0,6.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.684729064039409,0.16128773934724014
uncapped_fd2_rc1_rfp1_fmp8,3,,2.0,1.0,1.0,8.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.6490147783251228,0.1871637585465889
uncapped_fd2_rc1_rfp2_fmp4,3,,2.0,1.0,2.0,4.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.63423645320197,0.187552317435917
uncapped_fd2_rc1_rfp2_fmp6,3,,2.0,1.0,2.0,6.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.5985221674876846,0.20102204337675555
uncapped_fd2_rc1_rfp2_fmp8,3,,2.0,1.0,2.0,8.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.5628078817733986,0.21953330608204458
uncapped_fd2_rc1_rfp4_fmp8,3,,2.0,1.0,4.0,8.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,2.39039408866995,0.3125871957265281
uncapped_fd3_rc1_rfp0p5_fmp1,3,,3.0,1.0,0.5,1.0,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,3.799261083743842,0.10051102168837778
uncapped_fd3_rc1_rfp0p5_fmp1p5,3,,3.0,1.0,0.5,1.5,0.647,0.053113086899557994,0.7994946666666666,0.015224201960475062,0.3117628085448408,0.03178503035782809,0.3262967482194517,0.03328442675778275,0.8965792590102483,0.017766778491478816,0.3333333333333333,0.1220054643585005,0.4769293816138318,0.1303792250741731,0.18633333333333332,0.06903863652574066,0.9473684210526315,0.030386856273138165,0.5263157894736842,0.03508771929824561,0.3420107808958576,0.1742740261779114,3.7903325123152705,0.10486120546980057
