method,seed,split,n_samples,accuracy,auc,brier,ece,precision,recall,f1,predicted_fake_rate
score_fusion_all6,17,ms_cocoai_validation,200,0.975,0.9983,0.017128227369670748,0.02015228566734522,0.9797979797979798,0.97,0.9748743718592965,0.495
score_fusion_all6,17,ms_cocoai_to_ishu_test,114,0.6754385964912281,0.7783251231527094,0.30245201068121164,0.3193526786368933,0.6043956043956044,0.9821428571428571,0.7482993197278912,0.7982456140350878
score_fusion_all6,29,ms_cocoai_validation,200,0.97,0.9982,0.019048503675425897,0.03335400706668043,0.97,0.97,0.97,0.5
score_fusion_all6,29,ms_cocoai_to_ishu_test,114,0.6491228070175439,0.8651477832512315,0.27708601461844284,0.3008154572954511,0.5869565217391305,0.9642857142857143,0.7297297297297297,0.8070175438596491
score_fusion_all6_temp_balanced,7,ms_cocoai_validation,200,0.975,0.9932,0.022493053219193274,0.02277173823099129,0.9702970297029703,0.98,0.9751243781094527,0.505
score_fusion_all6_temp_balanced,7,ms_cocoai_to_ishu_test,114,0.6228070175438597,0.8392857142857142,0.3426366550227301,0.36656433475506445,0.5656565656565656,1.0,0.7225806451612903,0.868421052631579
score_fusion_all6_temp_balanced,17,ms_cocoai_validation,200,0.97,0.9982,0.020682469307597394,0.025926852874730868,0.97,0.97,0.97,0.5
score_fusion_all6_temp_balanced,17,ms_cocoai_to_ishu_test,114,0.6754385964912281,0.769396551724138,0.31285181859405087,0.32923159289907916,0.6067415730337079,0.9642857142857143,0.7448275862068966,0.7807017543859649
score_fusion_all6_temp_balanced,29,ms_cocoai_validation,200,0.97,0.9972,0.021683872540285407,0.0252694570774092,0.97,0.97,0.97,0.5
score_fusion_all6_temp_balanced,29,ms_cocoai_to_ishu_test,114,0.6754385964912281,0.8768472906403941,0.2646316004417313,0.2952799412109522,0.6067415730337079,0.9642857142857143,0.7448275862068966,0.7807017543859649
