candidate,seed,run_dir,threshold,threshold_strategy,threshold_source,threshold_max_positive_rate,summary_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_specificity,source_real_fpr,source_fake_miss_rate,source_positive_rate,source_predicted_positive_rate,target_variant,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
score_fusion_all6_c003_source_acc_cap_0p48,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p48_seed7,0.7044421076140431,source_accuracy,source_calibration,0.48,0.45,1.6749999999999998,0.94,0.9888888888888889,0.89,0.99,0.010000000000000009,0.10999999999999999,0.5,0.45,ishu_test,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6052631578947368
score_fusion_all6_c003_source_acc_cap_0p48,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p48_seed17,0.7029289297383793,source_accuracy,source_calibration,0.48,0.45,1.75,0.95,1.0,0.9,1.0,0.0,0.09999999999999998,0.5,0.45,ishu_test,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.6140350877192983
score_fusion_all6_c003_source_acc_cap_0p48,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p48_seed29,0.5897296362659037,source_accuracy,source_calibration,0.48,0.485,1.6999999999999997,0.955,0.9690721649484536,0.94,0.97,0.030000000000000027,0.06000000000000005,0.5,0.485,ishu_test,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.6491228070175439
score_fusion_all6_c003_source_acc_cap_0p50,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p50_seed7,0.7027746617327966,source_accuracy,source_calibration,0.5,0.455,1.7000000000000002,0.945,0.989010989010989,0.9,0.99,0.010000000000000009,0.09999999999999998,0.5,0.455,ishu_test,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6052631578947368
score_fusion_all6_c003_source_acc_cap_0p50,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p50_seed17,0.591473875401568,source_accuracy,source_calibration,0.5,0.495,1.7499999999999998,0.965,0.9696969696969697,0.96,0.97,0.030000000000000027,0.040000000000000036,0.5,0.495,ishu_test,0.6578947368421053,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.7280701754385965
score_fusion_all6_c003_source_acc_cap_0p50,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_acc_cap_0p50_seed29,0.5897296362659037,source_accuracy,source_calibration,0.5,0.485,1.6999999999999997,0.955,0.9690721649484536,0.94,0.97,0.030000000000000027,0.06000000000000005,0.5,0.485,ishu_test,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.6491228070175439
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p45,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p45_seed7,0.7224878755875712,source_utility,source_calibration,0.45,0.43,1.5749999999999997,0.92,0.9883720930232558,0.85,0.99,0.010000000000000009,0.15000000000000002,0.5,0.43,ishu_test,0.7456140350877193,0.7014925373134329,0.8392857142857143,0.7642276422764228,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.5877192982456141
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p45,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p45_seed17,0.7093367000719771,source_utility,source_calibration,0.45,0.445,1.725,0.945,1.0,0.89,1.0,0.0,0.10999999999999999,0.5,0.445,ishu_test,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.6140350877192983
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p45,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p45_seed29,0.6223054621348034,source_utility,source_calibration,0.45,0.48,1.6749999999999998,0.95,0.96875,0.93,0.97,0.030000000000000027,0.06999999999999995,0.5,0.48,ishu_test,0.7456140350877193,0.684931506849315,0.8928571428571429,0.7751937984496124,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.6403508771929824
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48_seed7,0.7044421076140431,source_utility,source_calibration,0.48,0.45,1.6749999999999998,0.94,0.9888888888888889,0.89,0.99,0.010000000000000009,0.10999999999999999,0.5,0.45,ishu_test,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6052631578947368
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48_seed17,0.7029289297383793,source_utility,source_calibration,0.48,0.45,1.75,0.95,1.0,0.9,1.0,0.0,0.09999999999999998,0.5,0.45,ishu_test,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.6140350877192983
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p48_seed29,0.5897296362659037,source_utility,source_calibration,0.48,0.485,1.6999999999999997,0.955,0.9690721649484536,0.94,0.97,0.030000000000000027,0.06000000000000005,0.5,0.485,ishu_test,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.6491228070175439
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5_seed7,0.7027746617327966,source_utility,source_calibration,0.5,0.455,1.7000000000000002,0.945,0.989010989010989,0.9,0.99,0.010000000000000009,0.09999999999999998,0.5,0.455,ishu_test,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6052631578947368
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5_seed17,0.591473875401568,source_utility,source_calibration,0.5,0.495,1.7499999999999998,0.965,0.9696969696969697,0.96,0.97,0.030000000000000027,0.040000000000000036,0.5,0.495,ishu_test,0.6578947368421053,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.7280701754385965
score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_cap0p5_seed29,0.5897296362659037,source_utility,source_calibration,0.5,0.485,1.6999999999999997,0.955,0.9690721649484536,0.94,0.97,0.030000000000000027,0.06000000000000005,0.5,0.485,ishu_test,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.6491228070175439
score_fusion_all6_c003_source_utility_rfp2_fmp1_nocap,7,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_nocap_seed7,0.7027746617327966,source_utility,source_calibration,,0.455,1.7000000000000002,0.945,0.989010989010989,0.9,0.99,0.010000000000000009,0.09999999999999998,0.5,0.455,ishu_test,0.7456140350877193,0.6956521739130435,0.8571428571428571,0.768,0.8254310344827586,0.2228802366259784,0.2161680368328001,0.6052631578947368
score_fusion_all6_c003_source_utility_rfp2_fmp1_nocap,17,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_nocap_seed17,0.591473875401568,source_utility,source_calibration,,0.495,1.7499999999999998,0.965,0.9696969696969697,0.96,0.97,0.030000000000000027,0.040000000000000036,0.5,0.495,ishu_test,0.6578947368421053,0.6024096385542169,0.8928571428571429,0.7194244604316546,0.7826354679802956,0.2422857038601673,0.2190054996510511,0.7280701754385965
score_fusion_all6_c003_source_utility_rfp2_fmp1_nocap,29,runs/ms_cocoai_to_ishu_neural_fusion/score_fusion_all6_c003_source_utility_rfp2_fmp1_nocap_seed29,0.5897296362659037,source_utility,source_calibration,,0.485,1.6999999999999997,0.955,0.9690721649484536,0.94,0.97,0.030000000000000027,0.06000000000000005,0.5,0.485,ishu_test,0.7543859649122807,0.6891891891891891,0.9107142857142856,0.7846153846153846,0.8793103448275863,0.1912668759092576,0.1827990196354151,0.6491228070175439
