phase,group_type,group_label,run,n_seeds,n_mean,accuracy_mean,accuracy_min,accuracy_max,roc_auc_mean,roc_auc_min,roc_auc_max,brier_score_mean,brier_score_min,brier_score_max,expected_calibration_error_mean,expected_calibration_error_min,expected_calibration_error_max,predicted_fake_rate_mean,predicted_fake_rate_min,predicted_fake_rate_max,real_false_positive_rate_mean,real_false_positive_rate_min,real_false_positive_rate_max,fake_detection_rate_mean,fake_detection_rate_min,fake_detection_rate_max,mean_fake_score_mean,mean_fake_score_min,mean_fake_score_max
ishu_holdout,ishu_category,nature,combined_v4_logreg_selectk60,3,21.333333333333332,0.7161904761904762,0.6666666666666666,0.7619047619047619,0.8466089466089466,0.7792207792207793,0.9272727272727272,0.1810301114387761,0.10751919223333072,0.23240910426837239,0.21856060943112307,0.19452225272609558,0.2362317161043595,0.5012698412698412,0.48,0.5238095238095238,0.2903138528138528,0.2727272727272727,0.3125,0.7380471380471381,0.6363636363636364,0.8,0.5145286523683995,0.48503825569019277,0.5481146289483877
ishu_to_ms_cocoai,ms_source,dalle3,combined_v3_logreg,3,100.0,0.19000000000000003,0.13,0.24,,,,0.5778745641771413,0.5441394175270159,0.6263610198963795,0.7173060720351835,0.6877795780892483,0.7568363506346941,0.19000000000000003,0.13,0.24,,,,0.19000000000000003,0.13,0.24,0.28269392796481646,0.2431636493653059,0.3122204219107516
ishu_to_ms_cocoai,ms_source,dalle3,combined_v4_logreg,3,100.0,0.26,0.19,0.31,,,,0.5705365089071847,0.5316492162789997,0.6297207361348949,0.7031386051419153,0.6683609201299258,0.7541841676950571,0.26,0.19,0.31,,,,0.26,0.19,0.31,0.29686139485808477,0.2458158323049429,0.33163907987007407
ishu_to_ms_cocoai,ms_source,dalle3,combined_v4_logreg_selectk60,3,100.0,0.23,0.16,0.28,,,,0.5546240613007916,0.49781818954614593,0.6621590647116186,0.7004259620568095,0.6550481434212998,0.7789166833530182,0.23,0.16,0.28,,,,0.23,0.16,0.28,0.2995740379431906,0.221083316646982,0.34495185657870026
ishu_to_ms_cocoai,ms_source,midjourney6,combined_v3_logreg,3,100.0,0.24666666666666667,0.23,0.26,,,,0.5316344704906296,0.5213913008572814,0.5517511383647405,0.6707334494460163,0.6607215997883441,0.6892063054299342,0.24666666666666667,0.23,0.26,,,,0.24666666666666667,0.23,0.26,0.32926655055398363,0.3107936945700658,0.33927840021165595
ishu_to_ms_cocoai,ms_source,midjourney6,combined_v4_logreg,3,100.0,0.27999999999999997,0.23,0.32,,,,0.5275181892399252,0.509916493010608,0.5597594139520846,0.6577682410811948,0.6416555739461479,0.6891298348501914,0.27999999999999997,0.23,0.32,,,,0.27999999999999997,0.23,0.32,0.34223175891880525,0.3108701651498086,0.3583444260538522
ishu_to_ms_cocoai,ms_source,midjourney6,combined_v4_logreg_selectk60,3,100.0,0.29666666666666663,0.24,0.35,,,,0.4870260468215563,0.45251703062663795,0.54037926366538,0.642134278145774,0.6163112302714399,0.684572592653276,0.29666666666666663,0.24,0.35,,,,0.29666666666666663,0.24,0.35,0.35786572185422605,0.3154274073467241,0.38368876972856014
ishu_to_ms_cocoai,ms_source,real,combined_v3_logreg,3,500.0,0.8726666666666666,0.864,0.884,,,,0.0964393974095286,0.0871021973384942,0.10324576860002702,0.2063002301986119,0.19368565347083858,0.2157255026649691,0.12733333333333333,0.116,0.136,0.12733333333333333,0.116,0.136,,,,0.20630023019861196,0.19368565347083858,0.2157255026649691
ishu_to_ms_cocoai,ms_source,real,combined_v4_logreg,3,500.0,0.8793333333333333,0.856,0.904,,,,0.09131152983285058,0.07923002648310871,0.10231195356564542,0.1929928605656238,0.17778623885790565,0.20921724980925077,0.12066666666666666,0.096,0.144,0.12066666666666666,0.096,0.144,,,,0.1929928605656238,0.17778623885790568,0.20921724980925077
ishu_to_ms_cocoai,ms_source,real,combined_v4_logreg_selectk60,3,500.0,0.874,0.854,0.892,,,,0.09619647555666279,0.08850850478576146,0.10420875512683134,0.21859504768996416,0.2058112246492258,0.23589175641810461,0.126,0.108,0.146,0.126,0.108,0.146,,,,0.21859504768996416,0.20581122464922583,0.23589175641810464
ishu_to_ms_cocoai,ms_source,sd21,combined_v3_logreg,3,100.0,0.13,0.12,0.14,,,,0.7110719939422835,0.7065893091201367,0.7172946121892422,0.8122868117372734,0.8097425468953954,0.8154034598438739,0.13,0.12,0.14,,,,0.13,0.12,0.14,0.18771318826272668,0.18459654015612614,0.1902574531046048
ishu_to_ms_cocoai,ms_source,sd21,combined_v4_logreg,3,100.0,0.09999999999999999,0.09,0.12,,,,0.7547290615290753,0.7471748976587338,0.7598673470540643,0.8358980956373845,0.8294249062180753,0.8402009530454948,0.09999999999999999,0.09,0.12,,,,0.09999999999999999,0.09,0.12,0.16410190436261554,0.15979904695450528,0.17057509378192484
ishu_to_ms_cocoai,ms_source,sd21,combined_v4_logreg_selectk60,3,100.0,0.11666666666666665,0.1,0.15,,,,0.680086582504746,0.6431040605737246,0.710768909945063,0.7936279907504286,0.7660996159387286,0.8144927181198364,0.11666666666666665,0.1,0.15,,,,0.11666666666666665,0.1,0.15,0.20637200924957141,0.18550728188016363,0.23390038406127134
ishu_to_ms_cocoai,ms_source,sd3,combined_v3_logreg,3,100.0,0.06333333333333334,0.06,0.07,,,,0.7633076248397409,0.7458652017357151,0.7859268524999774,0.8553757754209559,0.8428686886405923,0.8696978835731715,0.06333333333333334,0.06,0.07,,,,0.06333333333333334,0.06,0.07,0.14462422457904417,0.1303021164268284,0.15713131135940783
ishu_to_ms_cocoai,ms_source,sd3,combined_v4_logreg,3,100.0,0.05333333333333334,0.05,0.06,,,,0.7857679665300648,0.7545503836280412,0.8153896162089059,0.8695051064223177,0.8490039690717822,0.887190681074644,0.05333333333333334,0.05,0.06,,,,0.05333333333333334,0.05,0.06,0.13049489357768226,0.11280931892535588,0.1509960309282178
ishu_to_ms_cocoai,ms_source,sd3,combined_v4_logreg_selectk60,3,100.0,0.06999999999999999,0.04,0.12,,,,0.7057648394780274,0.6805783857000889,0.7435081701689954,0.8204775532852606,0.7959708589389629,0.8491894139430954,0.06999999999999999,0.04,0.12,,,,0.06999999999999999,0.04,0.12,0.17952244671473938,0.15081058605690484,0.2040291410610371
ishu_to_ms_cocoai,ms_source,sdxl,combined_v3_logreg,3,100.0,0.47333333333333333,0.45,0.52,,,,0.3508921567673087,0.32937088192640745,0.3691939815496327,0.5171613503801927,0.4959606164161232,0.5372428461781238,0.47333333333333333,0.45,0.52,,,,0.47333333333333333,0.45,0.52,0.4828386496198072,0.46275715382187627,0.5040393835838768
ishu_to_ms_cocoai,ms_source,sdxl,combined_v4_logreg,3,100.0,0.51,0.49,0.54,,,,0.36435750632801905,0.3486093340835069,0.3768848532156127,0.5203693536119863,0.5020052457164457,0.5345384507696873,0.51,0.49,0.54,,,,0.51,0.49,0.54,0.4796306463880137,0.4654615492303128,0.49799475428355433
ishu_to_ms_cocoai,ms_source,sdxl,combined_v4_logreg_selectk60,3,100.0,0.47,0.43,0.49,,,,0.3523559701304013,0.3403620178389819,0.37627904509852955,0.5264821203530301,0.5131205521477387,0.5480221942998469,0.47,0.43,0.49,,,,0.47,0.43,0.49,0.47351787964696995,0.4519778057001531,0.48687944785226134
