phase,group_type,group_label,seed,run,accuracy,precision,recall,f1,threshold,confusion_matrix,n_samples,brier_score,expected_calibration_error,maximum_calibration_error,roc_auc,n,n_real,n_fake,predicted_fake_rate,real_false_positive_rate,fake_detection_rate,mean_fake_score
ishu_holdout,ishu_category,buildings,7,combined_v4_logreg,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.5,"[[6, 1], [0, 11]]",18,0.03845703423858597,0.12198505571318993,0.689319908618927,1.0,18,7,11,0.6666666666666666,0.14285714285714285,1.0,0.6314345178090863
ishu_holdout,ishu_category,buildings,7,combined_v4_logreg_selectk60,1.0,1.0,1.0,1.0,0.5,"[[7, 0], [0, 11]]",18,0.05590421781828352,0.20070141222741864,0.4583324193954468,1.0,18,7,11,0.6111111111111112,0.0,1.0,0.6459537247816721
ishu_holdout,ishu_category,buildings,17,combined_v3_logreg,0.9090909090909091,0.875,1.0,0.9333333333333333,0.5,"[[6, 2], [0, 14]]",22,0.08713814859611349,0.1150817435277118,0.48308515548706055,0.9375,22,8,14,0.7272727272727273,0.25,1.0,0.6398825263816186
ishu_holdout,ishu_category,buildings,17,combined_v4_logreg,0.8636363636363636,0.8666666666666667,0.9285714285714286,0.896551724137931,0.5,"[[6, 2], [1, 13]]",22,0.07755475829289932,0.13186891440471465,0.5053324401378632,0.9642857142857143,22,8,14,0.6818181818181818,0.25,0.9285714285714286,0.6418433426032689
ishu_holdout,ishu_category,buildings,17,combined_v4_logreg_selectk60,0.9090909090909091,0.875,1.0,0.9333333333333333,0.5,"[[6, 2], [0, 14]]",22,0.1129763246951652,0.1545465757901018,0.4352683424949646,0.9107142857142857,22,8,14,0.7272727272727273,0.25,1.0,0.6528477350419218
ishu_holdout,ishu_category,buildings,29,combined_v3_logreg,0.9444444444444444,0.9285714285714286,1.0,0.9629629629629629,0.5,"[[4, 1], [0, 13]]",18,0.08399001141642905,0.10953987865812247,0.49833762645721436,0.8769230769230769,18,5,13,0.7777777777777778,0.2,1.0,0.7039886702679925
ishu_holdout,ishu_category,buildings,29,combined_v4_logreg,0.9444444444444444,0.9285714285714286,1.0,0.9629629629629629,0.5,"[[4, 1], [0, 13]]",18,0.09312820768091984,0.19521783106029028,0.45650818943977356,0.8615384615384616,18,5,13,0.7777777777777778,0.2,1.0,0.7024763986054394
ishu_holdout,ishu_category,buildings,29,combined_v4_logreg_selectk60,0.8333333333333334,0.8125,1.0,0.896551724137931,0.5,"[[2, 3], [0, 13]]",18,0.1082738244675098,0.0648554869823986,0.20717543363571167,0.8769230769230769,18,5,13,0.8888888888888888,0.6,1.0,0.7375368980897797
ishu_holdout,ishu_category,food,7,combined_v3_logreg,0.8333333333333334,1.0,0.6666666666666666,0.8,0.5,"[[3, 0], [1, 2]]",6,0.09823692474533847,0.18897812580689785,0.7331646680831909,1.0,6,3,3,0.3333333333333333,0.0,0.6666666666666666,0.41163062071427703
ishu_holdout,ishu_category,food,7,combined_v4_logreg,0.8333333333333334,1.0,0.6666666666666666,0.8,0.5,"[[3, 0], [1, 2]]",6,0.12975006205678632,0.13297485657191524,0.3281395062804222,0.888888888888889,6,3,3,0.3333333333333333,0.0,0.6666666666666666,0.3865584517285849
ishu_holdout,ishu_category,food,7,combined_v4_logreg_selectk60,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,"[[2, 1], [1, 2]]",6,0.22653553294503284,0.27118435688316817,0.8520320057868958,0.7777777777777779,6,3,3,0.5,0.3333333333333333,0.6666666666666666,0.5262026805430651
ishu_holdout,ishu_category,food,17,combined_v3_logreg,0.8,0.6666666666666666,1.0,0.8,0.5,"[[4, 2], [0, 4]]",10,0.17811702025194925,0.263595387339592,0.7520997524261475,0.875,10,6,4,0.6,0.3333333333333333,1.0,0.5781015127897262
ishu_holdout,ishu_category,food,17,combined_v4_logreg,0.7,0.5714285714285714,1.0,0.7272727272727273,0.5,"[[3, 3], [0, 4]]",10,0.1695081408947635,0.18947890382260082,0.6229426264762878,0.9166666666666667,10,6,4,0.7,0.5,1.0,0.574027389101684
ishu_holdout,ishu_category,food,17,combined_v4_logreg_selectk60,0.8,0.6666666666666666,1.0,0.8,0.5,"[[4, 2], [0, 4]]",10,0.18693286727169167,0.2450811624526978,0.4734395146369934,0.8333333333333334,10,6,4,0.6,0.3333333333333333,1.0,0.5651286959648132
ishu_holdout,ishu_category,food,29,combined_v3_logreg,0.9166666666666666,0.8333333333333334,1.0,0.9090909090909091,0.5,"[[6, 1], [0, 5]]",12,0.06440701883250399,0.18372187577188012,0.699018120765686,1.0,12,7,5,0.5,0.14285714285714285,1.0,0.5052940106640259
ishu_holdout,ishu_category,food,29,combined_v4_logreg,0.9166666666666666,0.8333333333333334,1.0,0.9090909090909091,0.5,"[[6, 1], [0, 5]]",12,0.06830263323518351,0.17923265416175124,0.6982468962669373,1.0,12,7,5,0.5,0.14285714285714285,1.0,0.5098625393584371
ishu_holdout,ishu_category,food,29,combined_v4_logreg_selectk60,0.8333333333333334,0.7142857142857143,1.0,0.8333333333333334,0.5,"[[5, 2], [0, 5]]",12,0.11704513502562282,0.24508059148987132,0.9166102409362792,0.8571428571428572,12,7,5,0.5833333333333334,0.2857142857142857,1.0,0.5241429718832175
ishu_holdout,ishu_category,human,7,combined_v3_logreg,0.8181818181818182,0.6,1.0,0.75,0.5,"[[12, 4], [0, 6]]",22,0.14481942498734796,0.20358461166192268,0.39867997169494634,0.9166666666666667,22,16,6,0.45454545454545453,0.25,1.0,0.44538510954060423
ishu_holdout,ishu_category,human,7,combined_v4_logreg,0.8181818181818182,0.6,1.0,0.75,0.5,"[[12, 4], [0, 6]]",22,0.14590614428901336,0.18825029375573815,0.7916206121444702,0.9166666666666667,22,16,6,0.45454545454545453,0.25,1.0,0.44376738095520935
ishu_holdout,ishu_category,human,7,combined_v4_logreg_selectk60,0.7727272727272727,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.5,"[[12, 4], [1, 5]]",22,0.14899146479715591,0.2191405282683263,0.7605533599853516,0.9166666666666667,22,16,6,0.4090909090909091,0.25,0.8333333333333334,0.427582790896188
ishu_holdout,ishu_category,human,17,combined_v3_logreg,0.8,0.75,0.9,0.8181818181818182,0.5,"[[7, 3], [1, 9]]",20,0.14684416932938707,0.17739142660284415,0.5576387345790863,0.83,20,10,10,0.6,0.3,0.9,0.5705342907109298
ishu_holdout,ishu_category,human,17,combined_v4_logreg,0.8,0.75,0.9,0.8181818181818182,0.5,"[[7, 3], [1, 9]]",20,0.15791308703812773,0.18768007001235673,0.6259379684925079,0.8099999999999999,20,10,10,0.6,0.3,0.9,0.5752642526324052
ishu_holdout,ishu_category,human,17,combined_v4_logreg_selectk60,0.75,0.6923076923076923,0.9,0.782608695652174,0.5,"[[6, 4], [1, 9]]",20,0.1771581038937959,0.1527034478536734,0.5234048962593079,0.77,20,10,10,0.65,0.4,0.9,0.595170943652738
ishu_holdout,ishu_category,human,29,combined_v3_logreg,0.8888888888888888,0.75,1.0,0.8571428571428571,0.5,"[[10, 2], [0, 6]]",18,0.09739308689766112,0.18940275298114606,0.6367511749267578,0.9305555555555556,18,12,6,0.4444444444444444,0.16666666666666666,1.0,0.4095856950007146
ishu_holdout,ishu_category,human,29,combined_v4_logreg,0.8888888888888888,0.75,1.0,0.8571428571428571,0.5,"[[10, 2], [0, 6]]",18,0.08998866857021182,0.13637802590973375,0.3082689046859741,0.9444444444444444,18,12,6,0.4444444444444444,0.16666666666666666,1.0,0.4007939920496331
ishu_holdout,ishu_category,human,29,combined_v4_logreg_selectk60,0.9444444444444444,0.8571428571428571,1.0,0.9230769230769231,0.5,"[[11, 1], [0, 6]]",18,0.12463017057431107,0.2546671251847228,0.48435045282046,0.9305555555555555,18,12,6,0.3888888888888889,0.08333333333333333,1.0,0.43505084717212916
ishu_holdout,ishu_category,interior,7,combined_v3_logreg,0.875,0.8,1.0,0.8888888888888888,0.5,"[[6, 2], [0, 8]]",16,0.11020721590232616,0.13717866491060704,0.3924173414707184,0.921875,16,8,8,0.625,0.25,1.0,0.5697039271472022
ishu_holdout,ishu_category,interior,7,combined_v4_logreg,0.875,0.8,1.0,0.8888888888888888,0.5,"[[6, 2], [0, 8]]",16,0.09756407558747394,0.12762358319014308,0.352018654346466,0.953125,16,8,8,0.625,0.25,1.0,0.5916119245812297
ishu_holdout,ishu_category,interior,7,combined_v4_logreg_selectk60,0.875,0.8,1.0,0.8888888888888888,0.5,"[[6, 2], [0, 8]]",16,0.1175002201315101,0.16709471982903779,0.4286700487136841,0.9375,16,8,8,0.625,0.25,1.0,0.6019854445476085
ishu_holdout,ishu_category,interior,17,combined_v3_logreg,0.8,1.0,0.6666666666666666,0.8,0.5,"[[4, 0], [2, 4]]",10,0.1191693355702343,0.1961333450861275,0.6377470195293427,0.9583333333333334,10,4,6,0.4,0.0,0.6666666666666666,0.4720784497447312
ishu_holdout,ishu_category,interior,17,combined_v4_logreg,0.8,1.0,0.6666666666666666,0.8,0.5,"[[4, 0], [2, 4]]",10,0.12224096875268094,0.21974157504737374,0.7254550158977509,0.9166666666666666,10,4,6,0.4,0.0,0.6666666666666666,0.4807626288384199
ishu_holdout,ishu_category,interior,17,combined_v4_logreg_selectk60,0.8,1.0,0.6666666666666666,0.8,0.5,"[[4, 0], [2, 4]]",10,0.1079178624343566,0.22399463299661873,0.80119888484478,1.0,10,4,6,0.4,0.0,0.6666666666666666,0.42618012968450786
ishu_holdout,ishu_category,interior,29,combined_v3_logreg,0.9,1.0,0.875,0.9333333333333333,0.5,"[[2, 0], [1, 7]]",10,0.1592196047691729,0.28242521882057187,0.46315500140190125,0.9375,10,2,8,0.7,0.0,0.875,0.5175747811794281
ishu_holdout,ishu_category,interior,29,combined_v4_logreg,0.8,1.0,0.75,0.8571428571428571,0.5,"[[2, 0], [2, 6]]",10,0.15736725230240073,0.3089383538812399,0.861400693655014,1.0,10,2,8,0.6,0.0,0.75,0.5151475246995687
ishu_holdout,ishu_category,interior,29,combined_v4_logreg_selectk60,0.8,1.0,0.75,0.8571428571428571,0.5,"[[2, 0], [2, 6]]",10,0.18006088418045768,0.3685322284698487,0.806229054927826,0.9375,10,2,8,0.6,0.0,0.75,0.4938269853591919
ishu_holdout,ishu_category,items,7,combined_v3_logreg,0.8571428571428571,1.0,0.6666666666666666,0.8,0.5,"[[8, 0], [2, 4]]",14,0.06685175627537858,0.14889407321916076,0.6700756549835205,1.0,14,8,6,0.2857142857142857,0.0,0.6666666666666666,0.3337113788521608
ishu_holdout,ishu_category,items,7,combined_v4_logreg,0.8571428571428571,1.0,0.6666666666666666,0.8,0.5,"[[8, 0], [2, 4]]",14,0.06403328282684022,0.1531240226220626,0.5407363921403885,1.0,14,8,6,0.2857142857142857,0.0,0.6666666666666666,0.3273975688749945
ishu_holdout,ishu_category,items,7,combined_v4_logreg_selectk60,0.7857142857142857,1.0,0.5,0.6666666666666666,0.5,"[[8, 0], [3, 3]]",14,0.09658199003403503,0.2064117745455535,0.6837888360023499,1.0,14,8,6,0.21428571428571427,0.0,0.5,0.29859618617345923
ishu_holdout,ishu_category,items,17,combined_v3_logreg,0.9,1.0,0.6666666666666666,0.8,0.5,"[[7, 0], [1, 2]]",10,0.06145694084486682,0.1225098980079066,0.7136160433292389,1.0,10,7,3,0.2,0.0,0.6666666666666666,0.210860962928332
ishu_holdout,ishu_category,items,17,combined_v4_logreg,0.9,1.0,0.6666666666666666,0.8,0.5,"[[7, 0], [1, 2]]",10,0.04994123880091339,0.11104361839605743,0.6463453471660614,1.0,10,7,3,0.2,0.0,0.6666666666666666,0.20644296832395964
ishu_holdout,ishu_category,items,17,combined_v4_logreg_selectk60,0.8,1.0,0.3333333333333333,0.5,0.5,"[[7, 0], [2, 1]]",10,0.09067655683948392,0.1573387425910047,0.6619789451360703,1.0,10,7,3,0.1,0.0,0.3333333333333333,0.16658409652815373
ishu_holdout,ishu_category,items,29,combined_v3_logreg,1.0,1.0,1.0,1.0,0.5,"[[7, 0], [0, 7]]",14,0.022092224757219715,0.09113698910479277,0.43017882108688354,1.0,14,7,7,0.5,0.0,1.0,0.45363137264426506
ishu_holdout,ishu_category,items,29,combined_v4_logreg,1.0,1.0,1.0,1.0,0.5,"[[7, 0], [0, 7]]",14,0.0175557704989861,0.0751785184073595,0.4351404905319214,1.0,14,7,7,0.5,0.0,1.0,0.45797059955904934
