seed,fusion_c,dropout_config,source_fake_rate_cap,n_holdouts,validation_utility_mean,validation_utility_min,validation_accuracy_mean,validation_roc_auc_mean,validation_predicted_positive_rate_mean,threshold_train_predicted_positive_rate_mean,threshold_mean
7,0.03,mean0p35x8,0.4,5,0.9452386488192115,0.42941176470588216,0.8777434655827367,0.9843283289600425,0.18988997111505287,0.3969037496715774,0.9668153981044425
7,0.03,mean0p35x8,0.42,5,1.0115265276070902,0.42941176470588216,0.8860017238409948,0.9843283289600425,0.19814822937331114,0.41534704579787435,0.9622261575307867
7,0.03,mean0p35x8,0.45,5,1.0854046954750278,0.5764705882352941,0.8945043022730357,0.9843283289600425,0.20665080780535186,0.4461428552806673,0.9530609246004437
7,0.03,mean0p35x8,0.48,5,1.266331611696062,0.7235294117647058,0.9166335210440455,0.9843283289600425,0.22878002657636168,0.47536386161385397,0.9333137029313914
7,0.03,mean0p35x8,0.5,5,1.380888303938176,0.8705882352941177,0.9305034531311112,0.9843283289600425,0.24264995866342728,0.49846071872594877,0.9167347054494964
7,0.01,none,0.4,5,0.9225113760919387,0.42941176470588216,0.8749656878049589,0.9814207770064549,0.1871121933372751,0.3969037496715774,0.7253855124215465
7,0.01,none,0.42,5,1.053193194273757,0.42941176470588216,0.8914071292464005,0.9814207770064549,0.20355363477871657,0.41534704579787435,0.7155743446281699
7,0.01,none,0.45,5,1.1251774227477553,0.5764705882352941,0.899834632603366,0.9814207770064549,0.2119811381356822,0.4461428552806673,0.7027880719682628
7,0.01,none,0.48,5,1.308821730273137,0.7235294117647058,0.9220749213484595,0.9814207770064549,0.23422142688077568,0.47536386161385397,0.674634941505283
7,0.01,none,0.5,5,1.359972625413802,0.8705882352941177,0.9277997220027224,0.9814207770064549,0.23994622753503864,0.49532341557634246,0.6580499427408786
7,0.01,mean0p35x8,0.4,5,0.9452386488192115,0.42941176470588216,0.8777434655827367,0.982702533187188,0.18988997111505287,0.3969037496715774,0.9235256185950325
7,0.01,mean0p35x8,0.42,5,1.0115265276070902,0.42941176470588216,0.8860017238409948,0.982702533187188,0.19814822937331114,0.41534704579787435,0.915774484082848
7,0.01,mean0p35x8,0.45,5,1.1687380288083613,0.5764705882352941,0.9053151130838465,0.982702533187188,0.2174616186161627,0.4461428552806673,0.902800800069774
7,0.01,mean0p35x8,0.48,5,1.265343469403572,0.7235294117647058,0.916595469293665,0.982702533187188,0.2287419748259812,0.47536386161385397,0.8681740359343927
7,0.01,mean0p35x8,0.5,5,1.403533231474408,0.8705882352941177,0.9332802024832029,0.982702533187188,0.2454267080155191,0.49846071872594877,0.8466516176360346
17,1.0,none,0.4,5,1.1076996852252605,0.3823529411764708,0.8981344840473854,0.9956973572037511,0.18104285609908183,0.3953767592343312,0.9825838383160794
17,1.0,none,0.42,5,1.167900354121582,0.3823529411764708,0.9040488132493858,0.9956973572037511,0.18695718530108224,0.4153872621473603,0.9787365065133142
17,1.0,none,0.45,5,1.2322119483244804,0.3823529411764708,0.912230968006883,0.9956973572037511,0.19513934005857947,0.4461893473457962,0.9723704394094413
17,1.0,none,0.48,5,1.4508205456095482,0.8043478260869565,0.9354539777970569,0.9956973572037511,0.2183623498487534,0.47384182624501936,0.9590323440012499
17,1.0,none,0.5,5,1.4508205456095482,0.8043478260869565,0.9354539777970569,0.9956973572037511,0.2183623498487534,0.49694339014384636,0.9487889798858667
17,1.0,mean0p35x8,0.4,5,1.1000270509541612,0.2352941176470591,0.8978891354479168,0.9962907075873828,0.1807975074996134,0.3953767592343312,0.9983244762494874
17,1.0,mean0p35x8,0.42,5,1.1384885894156995,0.2352941176470591,0.90106373862252,0.9962907075873828,0.18397211067421657,0.4153872621473603,0.9976777368569317
17,1.0,mean0p35x8,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9962907075873828,0.1955742172057854,0.4461893473457962,0.9960358144957354
