policy,seed,source_fake_rate_cap,fake_detection_weight,real_clearance_weight,real_fpr_penalty,fake_miss_penalty,threshold,threshold_source_utility,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate,threshold_source_predicted_positive_rate
cap0p5_fd3_rc1_rfp4_fmp1p5,17,0.5,3.0,1.0,4.0,1.5,0.5415466189329279,3.8334359605911326,3.8334359605911326,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,0.3540000000000001,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p5_fd3_rc1_rfp4_fmp2,17,0.5,3.0,1.0,4.0,2.0,0.5415466189329279,3.8245073891625614,3.8245073891625614,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,-0.040000000000000036,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p5_fd3_rc1_rfp4_fmp3,17,0.5,3.0,1.0,4.0,3.0,0.5415466189329279,3.806650246305418,3.806650246305418,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,-0.8279999999999998,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p5_fd3_rc1_rfp4_fmp4,17,0.5,3.0,1.0,4.0,4.0,0.5415466189329279,3.7887931034482754,3.7887931034482754,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,-1.616,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p5_fd3_rc1_rfp4_fmp6,17,0.5,3.0,1.0,4.0,6.0,0.5415466189329279,3.7530788177339893,3.7530788177339893,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,-3.1919999999999997,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p5_fd3_rc1_rfp4_fmp8,17,0.5,3.0,1.0,4.0,8.0,0.5415466189329279,3.7173645320197037,3.7173645320197037,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,-4.768000000000001,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p55_fd0p5_rc1_rfp0p5_fmp1,17,0.55,0.5,1.0,0.5,1.0,0.5415466189329279,1.4473522167487682,1.4473522167487682,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,0.28800000000000003,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p55_fd0p5_rc1_rfp0p5_fmp1p5,17,0.55,0.5,1.0,0.5,1.5,0.5415466189329279,1.4384236453201968,1.4384236453201968,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,-0.10599999999999987,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p55_fd0p5_rc1_rfp0p5_fmp2,17,0.55,0.5,1.0,0.5,2.0,0.5415466189329279,1.4294950738916254,1.4294950738916254,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,-0.5,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
cap0p55_fd0p5_rc1_rfp0p5_fmp3,17,0.55,0.5,1.0,0.5,3.0,0.5415466189329279,1.4116379310344827,1.4116379310344827,0.9824561403508771,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9873768472906405,0.02835516784414356,0.046956171721982645,0.49122807017543857,-1.2879999999999998,0.596,0.9137931034482759,0.212,0.34415584415584416,0.781944,0.3362593471183187,0.3469317043002551,0.116,0.49122807017543857
