phase,group_type,group_label,candidate,baseline,n_paired_seeds,accuracy_delta_mean,accuracy_delta_min,accuracy_delta_max,roc_auc_delta_mean,roc_auc_delta_min,roc_auc_delta_max,brier_score_delta_mean,brier_score_delta_min,brier_score_delta_max,expected_calibration_error_delta_mean,expected_calibration_error_delta_min,expected_calibration_error_delta_max,predicted_fake_rate_delta_mean,predicted_fake_rate_delta_min,predicted_fake_rate_delta_max,real_false_positive_rate_delta_mean,real_false_positive_rate_delta_min,real_false_positive_rate_delta_max,fake_detection_rate_delta_mean,fake_detection_rate_delta_min,fake_detection_rate_delta_max,mean_fake_score_delta_mean,mean_fake_score_delta_min,mean_fake_score_delta_max
ishu_holdout,ishu_category,items,combined_v4_logreg,combined_v3_logreg,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.006290209916908467,-0.011515702043953427,-0.002818473448538361,-0.00773160030212687,-0.01595847069743328,0.004229949402901834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021308592222514613,-0.006313809977166296,0.004339226914784278
ishu_holdout,ishu_category,items,combined_v4_logreg_selectk60,combined_v3_logreg,3,-0.05714285714285713,-0.09999999999999998,0.0,0.0,0.0,0.0,0.017736949824334686,-0.005739000280269496,0.029730233758656452,0.026938809008309996,-0.011530118884560861,0.05751770132639275,-0.05714285714285714,-0.1,0.0,0.0,0.0,0.0,-0.16666666666666666,-0.3333333333333333,0.0,-0.025287006957705777,-0.04427686640017828,0.0035310382057625045
ishu_holdout,ishu_category,nature,combined_v4_logreg,combined_v3_logreg,3,0.01851851851851849,0.0,0.05555555555555547,0.025390812890812908,-0.00694444444444442,0.06493506493506485,-0.011731373786941631,-0.019030516962345506,-0.0019634260368794343,0.0033081655022624648,-0.021399095770473442,0.016729851827806508,0.008148148148148127,-0.05555555555555558,0.07999999999999996,-0.026785714285714284,-0.14285714285714285,0.0625,0.037037037037037056,0.0,0.11111111111111116,0.01973665861643727,0.01682900648986818,0.02445094253012936
ishu_holdout,ishu_category,nature,combined_v4_logreg_selectk60,combined_v3_logreg,3,0.002645502645502599,-0.04761904761904767,0.05555555555555547,0.022661135161135177,0.00694444444444442,0.051948051948051965,-0.013368579328815569,-0.031006079777378487,0.004302703815448533,-0.025200086025902457,-0.1174476714137806,0.09477643426624213,0.024021164021164016,-0.05555555555555558,0.07999999999999996,0.0035173160173160114,-0.14285714285714285,0.09090909090909088,0.037037037037037056,0.0,0.11111111111111116,0.03270050153010475,0.012393932826348153,0.06855406415867038
ishu_to_ms_cocoai,ms_source,dalle3,combined_v4_logreg,combined_v3_logreg,3,0.07,0.06,0.08000000000000002,,,,-0.007338055269956715,-0.01288368080036939,0.0033597162385153867,-0.014167466893268236,-0.02043155978084521,-0.0026521829396369823,0.07,0.06,0.08000000000000002,,,,0.07,0.06,0.08000000000000002,0.014167466893268291,0.0026521829396369823,0.020431559780845432
ishu_to_ms_cocoai,ms_source,dalle3,combined_v4_logreg_selectk60,combined_v3_logreg,3,0.04000000000000001,0.010000000000000009,0.08000000000000002,,,,-0.02325050287634972,-0.059228325463418274,0.03579804481523907,-0.016880109978374008,-0.039989227985497644,0.022080332718324103,0.04000000000000001,0.010000000000000009,0.08000000000000002,,,,0.04000000000000001,0.010000000000000009,0.08000000000000002,0.016880109978374108,-0.02208033271832391,0.03998922798549759
ishu_to_ms_cocoai,ms_source,midjourney6,combined_v4_logreg,combined_v3_logreg,3,0.033333333333333326,0.0,0.06,,,,-0.004116281250704401,-0.011474807846673318,0.008008275587344071,-0.012965208364821587,-0.02061686917362293,-7.647057974280447e-05,0.033333333333333326,0.0,0.06,,,,0.033333333333333326,0.0,0.06,0.012965208364821587,7.647057974280447e-05,0.02061686917362293
ishu_to_ms_cocoai,ms_source,midjourney6,combined_v4_logreg_selectk60,combined_v3_logreg,3,0.04999999999999998,0.009999999999999981,0.08999999999999997,,,,-0.044608423669073305,-0.06887427023064341,-0.011371874699360518,-0.028599171300242403,-0.04596121284833099,-0.00463371277665825,0.04999999999999998,0.009999999999999981,0.08999999999999997,,,,0.04999999999999998,0.009999999999999981,0.08999999999999997,0.028599171300242383,0.004633712776658305,0.04596121284833088
ishu_to_ms_cocoai,ms_source,real,combined_v4_logreg,combined_v3_logreg,3,0.006666666666666672,-0.008000000000000007,0.020000000000000018,,,,-0.005127867576678023,-0.007872170855385482,-0.0009338150343815993,-0.013307369632988139,-0.017514441430313166,-0.006508252855718322,-0.0066666666666666775,-0.020000000000000004,0.00799999999999998,-0.0066666666666666775,-0.020000000000000004,0.00799999999999998,,,,-0.013307369632988128,-0.017514441430313166,-0.006508252855718322
ishu_to_ms_cocoai,ms_source,real,combined_v4_logreg_selectk60,combined_v3_logreg,3,0.0013333333333333346,-0.010000000000000009,0.02200000000000002,,,,-0.00024292185286582205,-0.010461721504303162,0.008769969418901374,0.012294817491352195,-0.0036783098108023327,0.020396508531723395,-0.0013333333333333437,-0.022000000000000006,0.009999999999999981,-0.0013333333333333437,-0.022000000000000006,0.009999999999999981,,,,0.012294817491352222,-0.0036783098108023327,0.02039650853172345
ishu_to_ms_cocoai,ms_source,sd21,combined_v4_logreg,combined_v3_logreg,3,-0.03000000000000001,-0.04000000000000001,-0.020000000000000018,,,,0.043657067586791776,0.03985032768518537,0.050535286536592894,0.023611283900111135,0.01968235932267992,0.028486524572943872,-0.03000000000000001,-0.04000000000000001,-0.020000000000000018,,,,-0.03000000000000001,-0.04000000000000001,-0.020000000000000018,-0.023611283900111107,-0.02848652457294379,-0.01968235932267995
ishu_to_ms_cocoai,ms_source,sd21,combined_v4_logreg_selectk60,combined_v3_logreg,3,-0.013333333333333336,-0.04000000000000001,0.01999999999999999,,,,-0.030985411437537524,-0.06348524854641213,-0.0065257022441791435,-0.018658820986844866,-0.043642930956666826,-0.0009107417240374893,-0.013333333333333336,-0.04000000000000001,0.01999999999999999,,,,-0.013333333333333336,-0.04000000000000001,0.01999999999999999,0.018658820986844755,0.0009107417240374893,0.04364293095666655
ishu_to_ms_cocoai,ms_source,sd3,combined_v4_logreg,combined_v3_logreg,3,-0.01,-0.020000000000000004,0.0,,,,0.022460341690323998,0.008685181892326033,0.02946276370892853,0.014129331001361897,0.006135280431189938,0.01875991507142316,-0.01,-0.020000000000000004,0.0,,,,-0.01,-0.020000000000000004,0.0,-0.01412933100136191,-0.01875991507142319,-0.006135280431190021
ishu_to_ms_cocoai,ms_source,sd3,combined_v4_logreg_selectk60,combined_v3_logreg,3,0.006666666666666665,-0.020000000000000004,0.06,,,,-0.0575427853617135,-0.06528681603562625,-0.042418682330982005,-0.034898222135695156,-0.04689782970162937,-0.02050846963007602,0.006666666666666665,-0.020000000000000004,0.06,,,,0.006666666666666665,-0.020000000000000004,0.06,0.03489822213569522,0.020508469630076437,0.04689782970162926
ishu_to_ms_cocoai,ms_source,sdxl,combined_v4_logreg,combined_v3_logreg,3,0.03666666666666666,0.020000000000000018,0.04999999999999999,,,,0.013465349560710271,0.007690871665980037,0.01923845215709946,0.003208003231793599,-0.0027043954084364774,0.006283775803494818,0.03666666666666666,0.020000000000000018,0.04999999999999999,,,,0.03666666666666666,0.020000000000000018,0.04999999999999999,-0.0032080032317935623,-0.006283775803494762,0.002704395408436533
ishu_to_ms_cocoai,ms_source,sdxl,combined_v4_logreg_selectk60,combined_v3_logreg,3,-0.003333333333333355,-0.030000000000000027,0.03999999999999998,,,,0.0014638133630925736,-0.028831963710650776,0.02216743827264339,0.009320769972837336,-0.01893923156661903,0.029741605753515588,-0.003333333333333355,-0.030000000000000027,0.03999999999999998,,,,-0.003333333333333355,-0.030000000000000027,0.03999999999999998,-0.009320769972837298,-0.029741605753515588,0.01893923156661914
